"ID","exercise_name","image_url","level","reps","gender","body_part","equipment"
"[382929,630580870]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580871]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Novice","0.75x","Male","Back","Barbell"
"[382929,630580872]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Intermediate","1.00x","Male","Back","Barbell"
"[382929,630580873]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Advanced","1.50x","Male","Back","Barbell"
"[382929,630580874]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Elite","1.75x","Male","Back","Barbell"
"[382929,630580875]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Beginner","0.25x","Female","Back","Barbell"
"[382929,630580876]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Novice","0.40x","Female","Back","Barbell"
"[382929,630580877]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Intermediate","0.65x","Female","Back","Barbell"
"[382929,630580878]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Advanced","0.90x","Female","Back","Barbell"
"[382929,630580879]","Bent Over Row","https://static.strengthlevel.com/images/silhouettes/bent-over-row-256x256.png","Elite","1.20x","Female","Back","Barbell"
"[382929,630580880]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580881]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Novice","1.00x","Male","Back","Barbell"
"[382929,630580882]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Intermediate","1.50x","Male","Back","Barbell"
"[382929,630580883]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Advanced","2.25x","Male","Back","Barbell"
"[382929,630580884]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Elite","3.25x","Male","Back","Barbell"
"[382929,630580885]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Beginner","0.25x","Female","Back","Barbell"
"[382929,630580886]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Novice","0.50x","Female","Back","Barbell"
"[382929,630580887]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Intermediate","1.00x","Female","Back","Barbell"
"[382929,630580888]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Advanced","1.50x","Female","Back","Barbell"
"[382929,630580889]","Barbell Shrug","https://static.strengthlevel.com/images/silhouettes/barbell-shrug-256x256.png","Elite","2.25x","Female","Back","Barbell"
"[382929,630580890]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580891]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Novice","0.75x","Male","Back","Barbell"
"[382929,630580892]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Intermediate","1.00x","Male","Back","Barbell"
"[382929,630580893]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Advanced","1.50x","Male","Back","Barbell"
"[382929,630580894]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Elite","2.00x","Male","Back","Barbell"
"[382929,630580895]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Beginner","0.25x","Female","Back","Barbell"
"[382929,630580896]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Novice","0.45x","Female","Back","Barbell"
"[382929,630580897]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Intermediate","0.75x","Female","Back","Barbell"
"[382929,630580898]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Advanced","1.05x","Female","Back","Barbell"
"[382929,630580899]","T Bar Row","https://static.strengthlevel.com/images/silhouettes/t-bar-row-256x256.png","Elite","1.45x","Female","Back","Barbell"
"[382929,630580900]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Beginner","0.50x","Male","Back","Barbell"
"[382929,630580901]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Novice","0.75x","Male","Back","Barbell"
"[382929,630580902]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Intermediate","1.00x","Male","Back","Barbell"
"[382929,630580903]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Advanced","1.50x","Male","Back","Barbell"
"[382929,630580904]","Pendlay Row","https://static.strengthlevel.com/images/silhouettes/pendlay-row-256x256.png","Elite","1.75x","Male","Back","Barbell"
